;Agence;Nom Tiers Agence;Solde;Solde confirmé ?;Date Solde
0;PRIMEVER LIMOUSIN DONZENAC;GUIDEZ MONCHY LE PREUX;-180;Oui;2024-03-31
1;PRIMEVER LIMOUSIN DONZENAC;GUIDEZ LOG MONCHY ;0;Oui;2023-09-30
2;PRIMEVER LIMOUSIN DONZENAC;PRA FEILLENS;-7;Non;2023-11-30
3;PRIMEVER LIMOUSIN DONZENAC;PRA LYON;22;Non;2023-11-30
4;PRIMEVER LIMOUSIN DONZENAC;PATL ALLONNES;-6;Non;2023-10-31
5;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER IDF LOGISTIQUE RUNGIS;0;Oui;2022-12-31
6;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER IDF RUNGIS (GST);-594;Non;2023-11-30
7;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER ORLEANS;-132;Non;2023-12-31
8;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER PERPIGNAN 1;0;Non;2023-11-30
9;PRIMEVER LIMOUSIN DONZENAC;PLM MONTPELLIER;0;Oui;2023-09-30
10;PRIMEVER LIMOUSIN DONZENAC;PLM NICE;0;Oui;2023-11-30
11;PRIMEVER LIMOUSIN DONZENAC;PLM PLAN D'ORGON;-4;Oui;2023-11-30
12;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER SERVICES RUNGIS;0;Oui;2022-12-31
13;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER TOULOUSE;-96;Non;2023-12-31
14;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER TOURS;0;Oui;2023-10-31
15;PRIMEVER LIMOUSIN DONZENAC;PTI AGEN;36;Non;2023-09-30
16;PRIMEVER LIMOUSIN DONZENAC;PTSO MOISSAC;3879;Non;2022-10-31
17;PRIMEVER LIMOUSIN DONZENAC;PRIMEVER VDR CHATEAUNEUF SUR ISERE;-44;Non;2023-08-31
18;PRIMEVER LIMOUSIN DONZENAC;SATAR AGEN PRIMEUR;0;Oui;2023-10-31
19;PRIMEVER LIMOUSIN DONZENAC;SATAR SAMAZAN;666;Non;2023-10-31
20;PRIMEVER LIMOUSIN DONZENAC;SATAR BORDEAUX;-677;Non;2023-11-30
21;PRIMEVER LIMOUSIN DONZENAC;SATAR MOISSAC;-2349;Non;2023-03-31
22;PRIMEVER LIMOUSIN DONZENAC;SATAR AGEN LOGISTIQUE;-35;Non;2023-01-31
23;PRIMEVER LIMOUSIN DONZENAC;TMF ESTILLAC;0;Oui;2023-09-30
24;PTSO MOISSAC;GUIDEZ MONCHY LE PREUX;0;Oui;2023-11-30
25;PTSO MOISSAC;PRA FEILLENS;-44;Non;2023-11-30
26;PTSO MOISSAC;PRA LYON;-11;Non;2023-11-30
27;PTSO MOISSAC;PRIMAVER PERPIGNAN;0;Oui;2022-12-31
28;PTSO MOISSAC;PATL ALLONNES;0;Oui;2023-10-31
29;PTSO MOISSAC;PATL REZE;-4;Non;2023-01-31
30;PTSO MOISSAC;PRIMEVER EUROPE AGEN;23;Non;2023-01-31
31;PTSO MOISSAC;PRIMEVER IDF RUNGIS (GST);-29;Non;2023-10-31
32;PTSO MOISSAC;PRIMEVER LIMOUSIN DONZENAC;-4170;Non;2022-10-31
33;PTSO MOISSAC;PRIMEVER ORLEANS;0;Oui;2023-12-31
34;PTSO MOISSAC;PLM MONTPELLIER;0;Oui;2023-09-30
35;PTSO MOISSAC;PLM PLAN D'ORGON;0;Oui;2023-06-30
36;PTSO MOISSAC;PRIMEVER PROVENCE CHATEAURENARD;0;Oui;2023-10-31
37;PTSO MOISSAC;PTI AGEN;102;Non;2023-09-30
38;PTSO MOISSAC;PRIMEVER TROYES;-67;Non;2022-12-31
39;PTSO MOISSAC;SATAR AGEN PRIMEUR;0;Oui;2023-10-31
40;PTSO MOISSAC;SATAR SAMAZAN;656;Non;2023-09-30
41;PTSO MOISSAC;SATAR BORDEAUX;-3;Non;2023-12-31
42;PTSO MOISSAC;SATAR MOISSAC;-290;Non;2023-03-31
43;PTSO MOISSAC;SATAR AGEN LOGISTIQUE;-660;Non;2023-01-31
44;SATAR AGEN LOGISTIQUE;GUIDEZ LOG MONCHY ;0;Oui;2023-10-31
45;SATAR AGEN LOGISTIQUE;PRA FEILLENS;0;Oui;2023-03-31
46;SATAR AGEN LOGISTIQUE;PATL ALLONNES;0;Oui;2024-03-31
47;SATAR AGEN LOGISTIQUE;PATL REZE;0;Oui;2024-03-31
48;SATAR AGEN LOGISTIQUE;PRIMEVER IDF RUNGIS (GST);0;Oui;2024-03-31
49;SATAR AGEN LOGISTIQUE;PRIMEVER LIMOUSIN DONZENAC;0;Oui;2024-03-31
50;SATAR AGEN LOGISTIQUE;PRIMEVER NORMANDIE ST AMAND;0;Oui;2024-03-31
51;SATAR AGEN LOGISTIQUE;PRIMEVER ORLEANS;0;Oui;2023-11-30
52;SATAR AGEN LOGISTIQUE;PRIMEVER PERPIGNAN 1;-2075;Non;2023-03-31
53;SATAR AGEN LOGISTIQUE;PRIMEVER PERPIGNAN 2;0;Oui;2024-03-31
54;SATAR AGEN LOGISTIQUE;PRIMEVER PERPIGNAN 3;0;Oui;2023-10-31
55;SATAR AGEN LOGISTIQUE;PRIMEVER PROVENCE CHATEAURENARD;0;Oui;2023-10-31
56;SATAR AGEN LOGISTIQUE;PTI AGEN;0;Oui;2024-03-31
57;SATAR AGEN LOGISTIQUE;PTI AGEN;0;Oui;2024-03-31
58;SATAR AGEN LOGISTIQUE;PRIMEVER VDR CHATEAUNEUF SUR ISERE;0;Oui;2023-10-31
59;SATAR AGEN LOGISTIQUE;SATAR AGEN PRIMEUR;0;Oui;2024-03-31
60;SATAR AGEN LOGISTIQUE;SATAR SAMAZAN;-15173;Non;2023-11-30
61;SATAR AGEN LOGISTIQUE;SATAR MOISSAC;-13963;Non;2023-10-31
62;SATAR AGEN LOGISTIQUE;TMF BEZIERS;0;Oui;2024-03-31
63;SATAR AGEN PRIMEUR;GUIDEZ MONCHY LE PREUX;0;Oui;2024-01-31
64;SATAR AGEN PRIMEUR;PATL ALLONNES;2;Oui;2024-03-31
65;SATAR AGEN PRIMEUR;PRIMEVER EUROPE AGEN;0;Oui;2024-01-31
66;SATAR AGEN PRIMEUR;PRIMEVER LIMOUSIN DONZENAC;-10;Oui;2023-08-31
67;SATAR AGEN PRIMEUR;PRIMEVER NORMANDIE ST AMAND;150;Oui;2024-03-31
68;SATAR AGEN PRIMEUR;PRIMEVER PERPIGNAN 1;15;Oui;2024-03-31
69;SATAR AGEN PRIMEUR;PLM PLAN D'ORGON;-236;Oui;2023-08-31
70;SATAR AGEN PRIMEUR;PRIMEVER PROVENCE CHATEAURENARD;358;Oui;2024-03-31
71;SATAR AGEN PRIMEUR;PRIMEVER TOULOUSE;-80;Oui;2023-05-31
72;SATAR AGEN PRIMEUR;PTI AGEN;-369;Oui;2024-03-31
73;SATAR AGEN PRIMEUR;PTSO MOISSAC;-5;Oui;2023-02-28
74;SATAR AGEN PRIMEUR;PRIMEVER VDR CHATEAUNEUF SUR ISERE;3;Oui;2023-10-31
75;SATAR AGEN PRIMEUR;SATAR AGEN SIEGE;0;Oui;2023-08-31
76;SATAR AGEN PRIMEUR;SATAR SAMAZAN;-521;Oui;2024-03-31
77;SATAR AGEN PRIMEUR;SATAR BORDEAUX;-7;Oui;2023-08-31
78;SATAR AGEN PRIMEUR;SATAR MOISSAC;75;Oui;2024-03-31
79;SATAR AGEN PRIMEUR;SATAR AGEN LOGISTIQUE;-165;Oui;2024-03-31
80;SATAR AGEN PRIMEUR;TESSIER PONT SAINT MARTIN;0;Oui;2024-01-31
81;SATAR AGEN PRIMEUR;TMF BEZIERS;0;Oui;2023-08-31
82;SATAR AGEN PRIMEUR;TMF TOURS;0;Oui;2023-05-31
83;SATAR AGEN PRIMEUR;TMF ESTILLAC;1;Oui;2024-03-31
84;SATAR AGEN SIEGE;SATAR AGEN PRIMEUR;0;Oui;2023-12-31
85;SATAR BORDEAUX;GUIDEZ MONCHY LE PREUX;-29;Non;2024-01-31
86;SATAR BORDEAUX;PRIMAVER (ATD);17;Oui;2023-04-30
87;SATAR BORDEAUX;PRIMAVER PERPIGNAN;0;Oui;2024-02-29
88;SATAR BORDEAUX;PATL ALLONNES;44;Oui;2024-02-29
89;SATAR BORDEAUX;PATL REZE;28;Non;2024-02-29
90;SATAR BORDEAUX;PRIMEVER IDF RUNGIS (GST);19;Non;2024-02-29
91;SATAR BORDEAUX;PRIMEVER LIMOUSIN DONZENAC;602;Non;2023-04-30
92;SATAR BORDEAUX;PRIMEVER NORMANDIE ST AMAND;14;Non;2024-02-29
93;SATAR BORDEAUX;PRIMEVER PERPIGNAN 1;17;Non;2023-10-31
94;SATAR BORDEAUX;PRIMEVER PROVENCE CHATEAURENARD;37;Non;2023-04-30
95;SATAR BORDEAUX;PRIMEVER TOURS;0;Oui;2023-12-31
96;SATAR BORDEAUX;PTI AGEN;5;Non;2023-05-31
97;SATAR BORDEAUX;PTSO MOISSAC;0;Oui;2024-01-31
98;SATAR BORDEAUX;PRIMEVER VDR CHATEAUNEUF SUR ISERE;0;Oui;2023-06-30
99;SATAR BORDEAUX;SATAR AGEN PRIMEUR;0;Oui;2023-08-31
100;SATAR BORDEAUX;SATAR SAMAZAN;-1638;Non;2024-02-29
101;SATAR BORDEAUX;SATAR MOISSAC;17;Non;2024-02-29
102;SATAR BORDEAUX;TMF BEZIERS;54;Non;2024-01-31
103;SATAR BORDEAUX;TMF TOURS;0;Oui;2023-07-31
104;SATAR BORDEAUX;TMF ESTILLAC;0;Oui;2023-03-31
105;SATAR BORDEAUX;TRAFIBA ST GEOURS DE MAREMME;0;Oui;2024-01-31
106;SATAR MOISSAC;GUIDEZ MONCHY LE PREUX;306;Non;2024-02-29
107;SATAR MOISSAC;GUIDEZ LOG MONCHY ;0;Oui;2022-12-31
108;SATAR MOISSAC;PRA LYON;0;Oui;2023-12-31
109;SATAR MOISSAC;PRIMAVER PERPIGNAN;337;Non;2022-12-31
110;SATAR MOISSAC;PATL ALLONNES;21;Non;2023-09-30
111;SATAR MOISSAC;PATL REZE;139;Non;2023-12-31
112;SATAR MOISSAC;PRIMEVER EUROPE AGEN;-486;Non;2022-12-31
113;SATAR MOISSAC;FTL LE CRES;-754;Oui;2024-03-31
114;SATAR MOISSAC;PRIMEVER IDF LOGISTIQUE RUNGIS;0;Oui;2022-12-31
115;SATAR MOISSAC;PRIMEVER IDF LOGISTIQUE RUNGIS;-24;Non;2023-12-31
116;SATAR MOISSAC;PRIMEVER IDF RUNGIS (GST);-480;Non;2023-12-31
117;SATAR MOISSAC;PRIMEVER LIMOUSIN DONZENAC;383;Non;2023-03-31
118;SATAR MOISSAC;PRIMEVER ORLEANS;-36;Non;2023-12-31
119;SATAR MOISSAC;PRIMEVER PERPIGNAN 1;-50;Non;2023-11-30
120;SATAR MOISSAC;PRIMEVER PERPIGNAN 3;0;Oui;2023-03-31
121;SATAR MOISSAC;PLM MONTPELLIER;0;Oui;2024-03-31
122;SATAR MOISSAC;PLM NICE;-16;Oui;2023-09-30
123;SATAR MOISSAC;PLM PLAN D'ORGON;-637;Oui;2024-03-31
124;SATAR MOISSAC;PRIMEVER PROVENCE CHATEAURENARD;-293;Oui;2024-03-31
125;SATAR MOISSAC;PRIMEVER TOULOUSE;-930;Non;2023-10-31
126;SATAR MOISSAC;PRIMEVER TOURS;0;Oui;2022-12-31
127;SATAR MOISSAC;PTI AGEN;-1336;Non;2023-12-31
128;SATAR MOISSAC;PTI AGEN;0;Non;2024-01-31
129;SATAR MOISSAC;PTSO MOISSAC;-219;Non;2023-03-31
130;SATAR MOISSAC;PRIMEVER VDR CHATEAUNEUF SUR ISERE;31;Oui;2023-11-30
131;SATAR MOISSAC;SATAR AGEN PRIMEUR;-285;Non;2023-07-31
132;SATAR MOISSAC;SATAR SAMAZAN;0;Oui;2024-03-31
133;SATAR MOISSAC;SATAR BORDEAUX;-144;Non;2023-03-31
134;SATAR MOISSAC;SATAR AGEN LOGISTIQUE;3592;Non;2023-10-31
135;SATAR MOISSAC;TMF BEZIERS;-29;Non;2024-01-31
136;SATAR MOISSAC;TMF ESTILLAC;-100;Non;2023-07-31
137;SATAR MOISSAC;TRAFIBA ST GEOURS DE MAREMME;0;Oui;2022-12-31
138;SATAR SAMAZAN;GUIDEZ MONCHY LE PREUX;-296;Non;2024-01-31
139;SATAR SAMAZAN;GUIDEZ LOG MONCHY ;0;Oui;2023-11-30
140;SATAR SAMAZAN;PRA LYON;398;Non;2023-12-31
141;SATAR SAMAZAN;PRIMAVER PERPIGNAN;0;Oui;2024-03-31
142;SATAR SAMAZAN;PATL ALLONNES;710;Non;2023-11-30
143;SATAR SAMAZAN;PATL REZE;236;Oui;2024-03-31
144;SATAR SAMAZAN;PRIMEVER EUROPE AGEN;117;Non;2023-09-30
145;SATAR SAMAZAN;PRIMEVER IDF LOGISTIQUE RUNGIS;-150;Oui;2023-10-31
146;SATAR SAMAZAN;PRIMEVER IDF LOGISTIQUE RUNGIS;-38;Non;2023-09-30
147;SATAR SAMAZAN;PRIMEVER IDF RUNGIS (GST);-4;Non;2023-10-31
148;SATAR SAMAZAN;PRIMEVER LIMOUSIN DONZENAC;-905;Non;2023-11-01
149;SATAR SAMAZAN;PRIMEVER NORMANDIE ST AMAND;53;Oui;2024-02-29
150;SATAR SAMAZAN;PRIMEVER ORLEANS;-117;Non;2023-08-31
151;SATAR SAMAZAN;PRIMEVER PERPIGNAN 1;-1103;Non;2023-11-30
152;SATAR SAMAZAN;PRIMEVER PERPIGNAN 5;0;Oui;2022-12-31
153;SATAR SAMAZAN;PLM MONTPELLIER;-25;Oui;2024-03-31
154;SATAR SAMAZAN;PLM PLAN D'ORGON;-442;Non;2023-11-30
155;SATAR SAMAZAN;PRIMEVER PROVENCE CHATEAURENARD;2323;Oui;2024-03-31
156;SATAR SAMAZAN;PRIMEVER TOULOUSE;-538;Non;2024-02-29
157;SATAR SAMAZAN;PRIMEVER TOURS;-32;Non;2024-02-29
158;SATAR SAMAZAN;PTI AGEN;-97;Non;2024-02-29
159;SATAR SAMAZAN;PTSO MOISSAC;-587;Non;2023-10-31
160;SATAR SAMAZAN;PRIMEVER VDR CHATEAUNEUF SUR ISERE;513;Non;2024-02-29
161;SATAR SAMAZAN;SATAR AGEN SIEGE;0;Oui;2022-12-28
162;SATAR SAMAZAN;SATAR AGEN PRIMEUR;512;Oui;2024-03-31
163;SATAR SAMAZAN;SATAR BORDEAUX;1736;Non;2024-02-29
164;SATAR SAMAZAN;SATAR MOISSAC;-68;Non;2023-10-31
165;SATAR SAMAZAN;SATAR AGEN LOGISTIQUE;8066;Non;2023-11-30
166;SATAR SAMAZAN;TMF PLAN D'ORGON;-405;Non;2023-12-31
167;SATAR SAMAZAN;TMF BEZIERS;-128;Oui;2024-03-31
168;SATAR SAMAZAN;TMF LE CRES;-280;Non;2023-10-31
169;SATAR SAMAZAN;TMF TOURS;-124;Non;2023-10-31
170;SATAR SAMAZAN;TMF ESTILLAC;-794;Non;2024-01-31
171;SATAR SAMAZAN;TRAFIBA ST GEOURS DE MAREMME;-271;Non;2024-02-29
172;TRAFIBA ST GEOURS DE MAREMME;PRIMEVER EUROPE AGEN;1;Non;2024-02-29
173;TRAFIBA ST GEOURS DE MAREMME;PTI AGEN;37;Oui;2024-02-29
174;TRAFIBA ST GEOURS DE MAREMME;SATAR SAMAZAN;233;Oui;2024-03-31
175;TRAFIBA ST GEOURS DE MAREMME;SATAR BORDEAUX;14;Oui;2024-02-29
176;TRAFIBA ST GEOURS DE MAREMME;SATAR MOISSAC;-2;Oui;2024-02-29
